iter,h,r,c,a
618,211,14,15,4355
619,212,14,15,4383
620,212,14,15,4410
621,214,14,15,4432
622,216,14,15,4452
623,216,14,14,4471
624,216,14,14,4493
625,217,15,14,4519
626,221,15,14,4541
627,222,15,14,4569
628,225,15,14,4597
629,223,15,14,4621
630,225,15,15,4644
631,225,15,15,4675
632,228,15,16,4701
633,229,15,16,4733
634,228,15,16,4763
635,226,15,16,4796
636,226,15,16,4836
637,226,15,16,4863
638,226,15,16,4886
639,226,15,16,4918
640,226,15,16,4950
641,226,16,16,4972
642,226,16,16,4993
643,228,15,16,5024
644,229,15,16,5047
645,230,15,16,5070
646,230,14,16,5095
647,231,14,16,5123
648,231,14,16,5151
649,232,14,16,5174
650,232,14,16,5185
651,232,14,16,5214
652,235,14,16,5243
653,239,14,16,5257
654,239,14,16,5274
655,241,14,16,5291
656,241,14,16,5319
657,248,14,16,5359
658,252,14,16,5405
659,252,14,17,5439
660,253,14,17,5465
661,255,14,17,5502
662,254,14,17,5540
663,255,14,17,5576
664,255,14,17,5605
665,258,14,17,5637
666,260,14,17,5672
667,260,14,17,5696
668,260,14,17,5718
669,260,14,17,5740
670,260,14,17,5767
671,262,14,17,5807
672,264,14,17,5842
673,266,14,17,5865
674,267,14,17,5895
675,269,14,17,5916
676,268,14,17,5954
677,268,14,17,5977
678,269,14,16,5997
679,267,14,16,6037
680,267,14,16,6064
681,265,14,16,6089
682,264,14,16,6127
683,264,14,16,6158
684,268,14,16,6189
685,272,14,16,6229
686,276,14,17,6269
687,278,14,17,6308
688,276,14,17,6343
689,279,14,17,6371
690,280,14,17,6406
691,282,14,17,6429
692,282,14,17,6465
693,282,14,18,6494
694,285,14,17,6523
695,288,14,17,6543
696,290,14,17,6568
697,291,14,17,6604
698,293,14,17,6642
699,293,14,17,6666
700,292,14,17,6691
701,297,14,17,6717
702,297,14,17,6733
703,301,14,18,6761
704,301,14,18,6790
705,303,14,19,6816
706,302,14,19,6830
707,301,14,19,6849
708,299,14,19,6861
709,299,14,19,6883
710,301,14,18,6892
711,302,14,18,6920
712,301,14,18,6955
713,304,14,18,6971
714,303,14,18,6991
715,302,14,18,7015
716,304,14,18,7022
717,305,14,18,7047
718,306,14,18,7057
719,308,14,18,7074
720,309,15,20,7097
721,309,16,20,7118
722,310,16,20,7139
723,311,16,20,7154
724,309,16,20,7165
725,309,16,20,7178
726,311,16,20,7184
727,314,16,20,7208
728,314,16,20,7225
729,319,17,20,7247
730,321,17,20,7263
731,322,17,20,7277
732,323,17,20,7290
733,325,17,20,7293
734,324,17,20,7304
735,326,17,20,7318
736,325,17,20,7333
737,323,17,20,7350
